mode,n,procs,time_s,mem_max_mb,mem_avg_mb
serial,103,1,0.000006,10.250000,
serial,1003,1,0.000007,10.380000,
serial,10003,1,0.000008,10.380000,
serial,100003,1,0.000012,10.380000,
serial,1000003,1,0.000030,10.380000,
serial,10000003,1,0.000081,10.500000,
serial,100000003,1,0.000240,10.500000,
serial,1000000003,1,0.000749,10.500000,
serial,10000000003,1,0.003419,10.500000,
serial,100000000003,1,0.012688,10.500000,
serial,1000000000003,1,0.033193,10.500000,
serial,10000000000003,1,0.110844,10.500000,
serial,100000000000003,1,0.340515,10.500000,
serial,1000000000000003,1,1.107227,10.500000,
serial,10000000000000003,1,3.513440,10.500000,
mpi,103,1,0.000041,24.860000,24.860000
mpi,103,2,0.000029,25.140000,25.100000
mpi,103,4,0.000047,25.180000,25.020000
mpi,103,8,0.000059,25.280000,25.080000
mpi,1003,1,0.000022,25.100000,25.100000
mpi,1003,2,0.000032,25.110000,25.090000
mpi,1003,4,0.000086,25.030000,24.990000
mpi,1003,8,0.000106,25.150000,24.900000
mpi,10003,1,0.000022,24.880000,24.880000
mpi,10003,2,0.000026,25.220000,25.100000
mpi,10003,4,0.000057,25.030000,24.920000
mpi,10003,8,0.000086,25.210000,24.970000
mpi,100003,1,0.000026,24.920000,24.920000
mpi,100003,2,0.000047,25.360000,25.270000
mpi,100003,4,0.000083,24.920000,24.910000
mpi,100003,8,0.000229,25.300000,24.980000
mpi,1000003,1,0.000041,24.790000,24.790000
mpi,1000003,2,0.000040,25.320000,25.280000
mpi,1000003,4,0.000084,25.150000,24.910000
mpi,1000003,8,0.000069,25.150000,24.960000
mpi,10000003,1,0.000101,24.800000,24.800000
mpi,10000003,2,0.000086,25.280000,25.220000
mpi,10000003,4,0.000102,24.970000,24.870000
mpi,10000003,8,0.000101,25.150000,24.920000
mpi,100000003,1,0.000238,25.060000,25.060000
mpi,100000003,2,0.000135,25.160000,25.140000
mpi,100000003,4,0.000126,25.180000,24.830000
mpi,100000003,8,0.000118,25.160000,24.890000
mpi,1000000003,1,0.000717,24.870000,24.870000
mpi,1000000003,2,0.000568,25.170000,25.170000
mpi,1000000003,4,0.000495,24.930000,24.860000
mpi,1000000003,8,0.000262,25.130000,24.840000
mpi,10000000003,1,0.003088,25.200000,25.200000
mpi,10000000003,2,0.001571,25.410000,25.310000
mpi,10000000003,4,0.000929,25.340000,25.080000
mpi,10000000003,8,0.000998,25.280000,25.070000
mpi,100000000003,1,0.010809,25.160000,25.160000
mpi,100000000003,2,0.005206,25.340000,25.220000
mpi,100000000003,4,0.002964,25.100000,24.960000
mpi,100000000003,8,0.004299,25.240000,24.990000
mpi,1000000000003,1,0.035549,25.100000,25.100000
mpi,1000000000003,2,0.018521,25.240000,25.160000
mpi,1000000000003,4,0.014662,25.180000,25.010000
mpi,1000000000003,8,0.009537,25.030000,24.910000
mpi,10000000000003,1,0.121004,24.890000,24.890000
mpi,10000000000003,2,0.067931,25.250000,25.230000
mpi,10000000000003,4,0.045355,25.220000,24.890000
mpi,10000000000003,8,0.032049,25.060000,24.900000
mpi,100000000000003,1,0.363846,24.830000,24.830000
mpi,100000000000003,2,0.189752,25.460000,25.270000
mpi,100000000000003,4,0.103109,25.030000,24.900000
mpi,100000000000003,8,0.090676,25.280000,24.970000
mpi,1000000000000003,1,1.140606,24.980000,24.980000
mpi,1000000000000003,2,0.625520,25.350000,25.220000
mpi,1000000000000003,4,0.425134,25.300000,24.960000
mpi,1000000000000003,8,0.258833,25.300000,25.080000
mpi,10000000000000003,1,3.635425,25.030000,25.030000
mpi,10000000000000003,2,1.975724,25.120000,25.020000
mpi,10000000000000003,4,1.097870,24.970000,24.880000
mpi,10000000000000003,8,0.800765,25.180000,24.960000
